Customer Reference ID,Item Purchased,Purchase Amount (USD),Date Purchase,Review Rating,Payment Method,Year,Month,Month_Name,Day,Weekday
4032,Wallet,155,3/8/2023,1.1,Credit Card,2023,3,Mar,8,Wednesday
3972,Boots,90,1/26/2023,4.6,Credit Card,2023,1,Jan,26,Thursday
4051,Umbrella,137,6/30/2023,4.6,Cash,2023,6,Jun,30,Friday
4097,Tank Top,174,10/10/2022,3.4,Cash,2022,10,Oct,10,Monday
3970,Camisole,77,1/5/2023,2.4,Cash,2023,1,Jan,5,Thursday
4100,Loafers,147,3/2/2023,3.9,Credit Card,2023,3,Mar,2,Thursday
4048,Pajamas,159,11/8/2022,1.2,Credit Card,2022,11,Nov,8,Tuesday
3985,Flannel Shirt,159,3/5/2023,2.6,Cash,2023,3,Mar,5,Sunday
4029,Leggings,66,6/16/2023,3.7,Cash,2023,6,Jun,16,Friday
3964,Hat,45,3/17/2023,4.8,Cash,2023,3,Mar,17,Friday
4017,Bowtie,33,9/28/2023,3.3,Credit Card,2023,9,Sep,28,Thursday
4067,Handbag,38,5/25/2023,3.1,Cash,2023,5,May,25,Thursday
4117,Kimono,162,4/16/2023,1.1,Cash,2023,4,Apr,16,Sunday
4060,Sweater,151,7/17/2023,3.2,Cash,2023,7,Jul,17,Monday
4054,Handbag,12,12/29/2022,2.6,Credit Card,2022,12,Dec,29,Thursday
4068,Pants,39,3/21/2023,2.4,Credit Card,2023,3,Mar,21,Tuesday
4096,Scarf,147,2/11/2023,4.1,Credit Card,2023,2,Feb,11,Saturday
4011,Blouse,174,4/21/2023,3.4,Cash,2023,4,Apr,21,Friday
4001,Hoodie,85,9/17/2023,3.3,Cash,2023,9,Sep,17,Sunday
4078,Hat,126,6/29/2023,2.1,Credit Card,2023,6,Jun,29,Thursday
4005,Sun Hat,194,12/16/2022,2.9,Credit Card,2022,12,Dec,16,Friday
4099,Scarf,138,5/20/2023,2.9,Credit Card,2023,5,May,20,Saturday
4055,Boots,139,1/5/2023,1.9,Credit Card,2023,1,Jan,5,Thursday
4063,Hoodie,173,6/23/2023,2.1,Credit Card,2023,6,Jun,23,Friday
3996,Belt,60,3/4/2023,2.3,Credit Card,2023,3,Mar,4,Saturday
3989,Overalls,148,5/19/2023,4.1,Credit Card,2023,5,May,19,Friday
3991,Blazer,145,5/3/2023,4.5,Credit Card,2023,5,May,3,Wednesday
3959,Coat,163,5/9/2023,3.5,Credit Card,2023,5,May,9,Tuesday
3975,Camisole,14,2/7/2023,3.5,Cash,2023,2,Feb,7,Tuesday
3961,Boots,88,10/7/2022,1.2,Cash,2022,10,Oct,7,Friday
3993,Belt,71,5/18/2023,4.4,Credit Card,2023,5,May,18,Thursday
4081,Hat,30,9/1/2023,1.2,Credit Card,2023,9,Sep,1,Friday
3991,Boots,27,9/16/2023,2,Credit Card,2023,9,Sep,16,Saturday
3978,Blazer,146,1/15/2023,3.7,Credit Card,2023,1,Jan,15,Sunday
3992,Cardigan,42,12/14/2022,2.4,Credit Card,2022,12,Dec,14,Wednesday
4121,Sunglasses,150,6/3/2023,3.4,Credit Card,2023,6,Jun,3,Saturday
4073,Handbag,165,9/28/2023,3,Credit Card,2023,9,Sep,28,Thursday
4111,Socks,64,1/15/2023,2.3,Credit Card,2023,1,Jan,15,Sunday
4065,Sneakers,196,3/24/2023,4.3,Credit Card,2023,3,Mar,24,Friday
4116,Onesie,192,1/16/2023,3.6,Credit Card,2023,1,Jan,16,Monday
4003,Hoodie,181,7/9/2023,1.6,Credit Card,2023,7,Jul,9,Sunday
4073,Swimsuit,122,4/25/2023,4.2,Credit Card,2023,4,Apr,25,Tuesday
4087,Vest,125,6/2/2023,2.6,Credit Card,2023,6,Jun,2,Friday
4098,Coat,96,9/21/2023,3.5,Credit Card,2023,9,Sep,21,Thursday
4055,Bowtie,160,4/3/2023,4.6,Cash,2023,4,Apr,3,Monday
4014,Trench Coat,25,12/5/2022,4.2,Cash,2022,12,Dec,5,Monday
4004,Flip-Flops,18,1/21/2023,4.1,Credit Card,2023,1,Jan,21,Saturday
4065,Poncho,28,6/29/2023,3.3,Credit Card,2023,6,Jun,29,Thursday
4111,Belt,81,5/10/2023,1.9,Credit Card,2023,5,May,10,Wednesday
3958,Tunic,64,6/17/2023,1.1,Cash,2023,6,Jun,17,Saturday
4104,Pants,195,6/2/2023,2.5,Cash,2023,6,Jun,2,Friday
4084,Onesie,156,8/8/2023,1.3,Credit Card,2023,8,Aug,8,Tuesday
4085,Tunic,114,4/28/2023,1.9,Credit Card,2023,4,Apr,28,Friday
4096,Hoodie,118,10/17/2022,4.4,Cash,2022,10,Oct,17,Monday
4104,Tunic,196,2/13/2023,1.2,Cash,2023,2,Feb,13,Monday
3965,Loafers,175,6/26/2023,2.1,Cash,2023,6,Jun,26,Monday
4102,Pants,96,7/31/2023,2,Credit Card,2023,7,Jul,31,Monday
4080,Sun Hat,37,9/14/2023,2.4,Cash,2023,9,Sep,14,Thursday
4051,Camisole,58,1/29/2023,4,Cash,2023,1,Jan,29,Sunday
3985,Hat,45,12/31/2022,2,Credit Card,2022,12,Dec,31,Saturday
4105,Sandals,81,10/31/2022,4.5,Credit Card,2022,10,Oct,31,Monday
4080,Pajamas,29,9/22/2023,2.4,Credit Card,2023,9,Sep,22,Friday
3977,Overalls,150,3/22/2023,4.7,Cash,2023,3,Mar,22,Wednesday
4091,Overalls,148,1/30/2023,2.7,Cash,2023,1,Jan,30,Monday
4028,Cardigan,33,2/11/2023,4.3,Credit Card,2023,2,Feb,11,Saturday
4076,Pajamas,70,10/5/2022,3.2,Credit Card,2022,10,Oct,5,Wednesday
3977,Loafers,64,10/15/2022,1.6,Cash,2022,10,Oct,15,Saturday
4090,Onesie,25,9/18/2023,2.1,Cash,2023,9,Sep,18,Monday
4019,Blouse,126,12/15/2022,3.5,Credit Card,2022,12,Dec,15,Thursday
4077,Romper,188,6/1/2023,4.6,Credit Card,2023,6,Jun,1,Thursday
4118,Onesie,152,1/12/2023,1.1,Credit Card,2023,1,Jan,12,Thursday
3976,Socks,134,7/24/2023,2.1,Credit Card,2023,7,Jul,24,Monday
4095,Socks,24,11/13/2022,1.5,Cash,2022,11,Nov,13,Sunday
4113,Trench Coat,22,5/20/2023,1.5,Cash,2023,5,May,20,Saturday
3970,Camisole,138,5/9/2023,4.7,Cash,2023,5,May,9,Tuesday
4044,Camisole,145,2/10/2023,2.4,Cash,2023,2,Feb,10,Friday
3959,Kimono,30,3/11/2023,1.5,Cash,2023,3,Mar,11,Saturday
4077,Vest,27,1/8/2023,4.6,Credit Card,2023,1,Jan,8,Sunday
4073,Tie,182,9/16/2023,3.5,Cash,2023,9,Sep,16,Saturday
4088,Vest,113,9/2/2023,1.2,Credit Card,2023,9,Sep,2,Saturday
4103,Swimsuit,73,4/30/2023,2.6,Cash,2023,4,Apr,30,Sunday
4041,Pajamas,20,5/20/2023,4.3,Cash,2023,5,May,20,Saturday
4064,Kimono,117,10/31/2022,2.9,Cash,2022,10,Oct,31,Monday
4047,Blazer,154,6/1/2023,1.7,Cash,2023,6,Jun,1,Thursday
4032,Backpack,76,6/15/2023,4.7,Cash,2023,6,Jun,15,Thursday
4031,Slippers,193,8/2/2023,1.3,Credit Card,2023,8,Aug,2,Wednesday
3999,Jacket,77,5/27/2023,3.4,Credit Card,2023,5,May,27,Saturday
3966,Tie,181,6/14/2023,3.6,Credit Card,2023,6,Jun,14,Wednesday
4109,Dress,127,9/30/2023,2.8,Cash,2023,9,Sep,30,Saturday
4034,Shorts,28,3/24/2023,3.4,Cash,2023,3,Mar,24,Friday
4023,Sunglasses,154,2/9/2023,2.4,Credit Card,2023,2,Feb,9,Thursday
3972,Coat,28,12/22/2022,4.6,Credit Card,2022,12,Dec,22,Thursday
4118,Socks,139,5/13/2023,4.4,Credit Card,2023,5,May,13,Saturday
4078,Tunic,99,11/10/2022,2.3,Cash,2022,11,Nov,10,Thursday
4105,Belt,72,7/29/2023,1.7,Credit Card,2023,7,Jul,29,Saturday
4000,Sandals,50,9/27/2023,4.3,Cash,2023,9,Sep,27,Wednesday
4103,Jumpsuit,149,10/16/2022,5,Cash,2022,10,Oct,16,Sunday
3970,Tunic,166,2/2/2023,3.1,Credit Card,2023,2,Feb,2,Thursday
4031,Camisole,177,6/28/2023,3.5,Cash,2023,6,Jun,28,Wednesday
3963,Trench Coat,86,12/16/2022,1.5,Cash,2022,12,Dec,16,Friday
4030,Romper,36,1/2/2023,2.8,Credit Card,2023,1,Jan,2,Monday
4081,Kimono,44,6/3/2023,2.2,Credit Card,2023,6,Jun,3,Saturday
3978,Handbag,37,1/17/2023,5,Cash,2023,1,Jan,17,Tuesday
3989,Tank Top,49,4/26/2023,4.7,Credit Card,2023,4,Apr,26,Wednesday
4086,Swimsuit,164,12/7/2022,1.6,Cash,2022,12,Dec,7,Wednesday
3976,Tank Top,97,5/23/2023,4.4,Cash,2023,5,May,23,Tuesday
4028,Sweater,172,1/15/2023,1.1,Credit Card,2023,1,Jan,15,Sunday
4021,Backpack,139,1/2/2023,4.8,Cash,2023,1,Jan,2,Monday
3990,Pajamas,23,11/1/2022,4.2,Credit Card,2022,11,Nov,1,Tuesday
4028,Poncho,80,12/31/2022,1.1,Cash,2022,12,Dec,31,Saturday
4022,Boots,43,8/27/2023,3.9,Cash,2023,8,Aug,27,Sunday
3960,Onesie,77,12/16/2022,4.3,Cash,2022,12,Dec,16,Friday
4111,Swimsuit,190,11/23/2022,4.4,Credit Card,2022,11,Nov,23,Wednesday
4001,Handbag,12,11/25/2022,2.7,Cash,2022,11,Nov,25,Friday
3995,Umbrella,186,5/27/2023,3.9,Cash,2023,5,May,27,Saturday
4071,Jeans,149,4/9/2023,2.4,Cash,2023,4,Apr,9,Sunday
4001,Wallet,151,6/9/2023,3.9,Cash,2023,6,Jun,9,Friday
4081,Sandals,20,12/2/2022,4.1,Cash,2022,12,Dec,2,Friday
4003,Loafers,63,6/10/2023,2.3,Credit Card,2023,6,Jun,10,Saturday
4092,Overalls,180,11/25/2022,2.7,Cash,2022,11,Nov,25,Friday
4044,Pants,114,12/25/2022,4.4,Credit Card,2022,12,Dec,25,Sunday
3978,Sandals,49,10/31/2022,4.5,Cash,2022,10,Oct,31,Monday
4109,Loafers,55,12/21/2022,1,Credit Card,2022,12,Dec,21,Wednesday
3996,Slippers,16,8/13/2023,2.5,Credit Card,2023,8,Aug,13,Sunday
4062,Coat,115,4/10/2023,1.6,Credit Card,2023,4,Apr,10,Monday
4055,T-shirt,198,11/29/2022,3.9,Credit Card,2022,11,Nov,29,Tuesday
4017,Shorts,78,2/26/2023,1.8,Credit Card,2023,2,Feb,26,Sunday
4120,Hoodie,107,7/11/2023,4,Cash,2023,7,Jul,11,Tuesday
4104,Pajamas,68,7/12/2023,1.8,Cash,2023,7,Jul,12,Wednesday
4045,Vest,178,1/29/2023,2.7,Credit Card,2023,1,Jan,29,Sunday
4121,Slippers,27,4/11/2023,3.6,Credit Card,2023,4,Apr,11,Tuesday
4024,Hoodie,81,12/30/2022,3.6,Credit Card,2022,12,Dec,30,Friday
3986,Flannel Shirt,140,11/24/2022,2.2,Cash,2022,11,Nov,24,Thursday
3970,Socks,147,5/7/2023,2.2,Credit Card,2023,5,May,7,Sunday
3999,Belt,17,7/25/2023,4.2,Credit Card,2023,7,Jul,25,Tuesday
4059,Belt,55,1/16/2023,1.4,Cash,2023,1,Jan,16,Monday
4078,Sandals,77,7/28/2023,4.5,Cash,2023,7,Jul,28,Friday
4078,Blazer,98,1/5/2023,2.3,Credit Card,2023,1,Jan,5,Thursday
4093,Trench Coat,90,10/17/2022,1.5,Cash,2022,10,Oct,17,Monday
4016,Polo Shirt,140,1/2/2023,2.3,Cash,2023,1,Jan,2,Monday
4056,Pajamas,58,7/20/2023,4.1,Cash,2023,7,Jul,20,Thursday
4078,Slippers,191,7/10/2023,4.2,Credit Card,2023,7,Jul,10,Monday
4024,Blazer,143,10/9/2022,2.6,Credit Card,2022,10,Oct,9,Sunday
3994,Camisole,147,11/19/2022,2.2,Cash,2022,11,Nov,19,Saturday
4092,Tie,199,2/15/2023,4.6,Cash,2023,2,Feb,15,Wednesday
4068,Tunic,60,1/4/2023,1.2,Cash,2023,1,Jan,4,Wednesday
3960,Camisole,27,9/14/2023,2,Credit Card,2023,9,Sep,14,Thursday
4030,Hoodie,94,4/23/2023,2.6,Credit Card,2023,4,Apr,23,Sunday
4071,Skirt,179,2/16/2023,2.6,Credit Card,2023,2,Feb,16,Thursday
4054,Handbag,194,6/12/2023,2.1,Credit Card,2023,6,Jun,12,Monday
4037,Sunglasses,139,11/10/2022,2.4,Cash,2022,11,Nov,10,Thursday
4092,Jumpsuit,114,11/2/2022,2.2,Credit Card,2022,11,Nov,2,Wednesday
3967,Raincoat,188,5/6/2023,3.3,Cash,2023,5,May,6,Saturday
3981,Pants,42,7/8/2023,1.8,Credit Card,2023,7,Jul,8,Saturday
4120,Poncho,107,11/7/2022,2.3,Cash,2022,11,Nov,7,Monday
4047,Scarf,54,5/20/2023,1.1,Credit Card,2023,5,May,20,Saturday
4067,Poncho,87,5/27/2023,4.2,Credit Card,2023,5,May,27,Saturday
4026,Tank Top,63,1/20/2023,4.6,Cash,2023,1,Jan,20,Friday
4042,Blazer,158,11/12/2022,3.2,Cash,2022,11,Nov,12,Saturday
4026,T-shirt,92,4/24/2023,3.1,Credit Card,2023,4,Apr,24,Monday
4025,Coat,123,1/9/2023,1.8,Cash,2023,1,Jan,9,Monday
3982,Kimono,140,5/18/2023,3.1,Credit Card,2023,5,May,18,Thursday
4022,T-shirt,198,10/22/2022,1.9,Cash,2022,10,Oct,22,Saturday
4075,Jumpsuit,172,10/7/2022,4.8,Credit Card,2022,10,Oct,7,Friday
4006,Flannel Shirt,67,7/27/2023,1.4,Cash,2023,7,Jul,27,Thursday
4090,Tie,47,1/11/2023,2.9,Cash,2023,1,Jan,11,Wednesday
4003,Cardigan,131,1/4/2023,4.1,Credit Card,2023,1,Jan,4,Wednesday
4037,Camisole,28,5/1/2023,2.1,Cash,2023,5,May,1,Monday
4097,Belt,171,5/24/2023,4.1,Cash,2023,5,May,24,Wednesday
3959,Coat,193,1/3/2023,1.5,Credit Card,2023,1,Jan,3,Tuesday
3959,Hat,136,2/8/2023,2.1,Credit Card,2023,2,Feb,8,Wednesday
4062,Romper,37,7/24/2023,4,Cash,2023,7,Jul,24,Monday
3982,Blouse,66,1/24/2023,1.1,Cash,2023,1,Jan,24,Tuesday
3983,Kimono,142,5/15/2023,3.9,Credit Card,2023,5,May,15,Monday
4071,Hat,152,12/22/2022,1.8,Credit Card,2022,12,Dec,22,Thursday
4046,Trench Coat,41,7/17/2023,2.2,Credit Card,2023,7,Jul,17,Monday
4013,Shorts,128,2/21/2023,3,Cash,2023,2,Feb,21,Tuesday
4021,Sunglasses,123,5/11/2023,1.8,Cash,2023,5,May,11,Thursday
4006,Scarf,194,2/2/2023,3.6,Cash,2023,2,Feb,2,Thursday
3965,Hat,119,7/13/2023,2.2,Cash,2023,7,Jul,13,Thursday
4115,Sweater,50,7/5/2023,3.2,Cash,2023,7,Jul,5,Wednesday
3980,Poncho,131,1/23/2023,4.6,Credit Card,2023,1,Jan,23,Monday
3971,Hat,73,7/17/2023,2,Credit Card,2023,7,Jul,17,Monday
4012,Socks,143,4/23/2023,2.6,Cash,2023,4,Apr,23,Sunday
4110,Sandals,71,3/17/2023,3.2,Cash,2023,3,Mar,17,Friday
4120,Tie,29,2/12/2023,1.9,Credit Card,2023,2,Feb,12,Sunday
3988,Bowtie,70,11/2/2022,2.6,Credit Card,2022,11,Nov,2,Wednesday
3987,Handbag,91,12/21/2022,2.5,Cash,2022,12,Dec,21,Wednesday
3979,Flip-Flops,30,3/30/2023,3.6,Cash,2023,3,Mar,30,Thursday
3990,Handbag,187,8/11/2023,1.4,Credit Card,2023,8,Aug,11,Friday
4122,Hoodie,116,3/17/2023,2,Cash,2023,3,Mar,17,Friday
4101,Cardigan,148,11/26/2022,3.5,Credit Card,2022,11,Nov,26,Saturday
4004,Hoodie,25,9/24/2023,3.9,Credit Card,2023,9,Sep,24,Sunday
3985,Pajamas,117,8/7/2023,1.9,Cash,2023,8,Aug,7,Monday
4004,Shorts,159,1/22/2023,2,Cash,2023,1,Jan,22,Sunday
4021,Sneakers,15,8/7/2023,2.4,Credit Card,2023,8,Aug,7,Monday
4032,Jacket,157,1/25/2023,2.3,Credit Card,2023,1,Jan,25,Wednesday
4076,Trousers,11,12/6/2022,2.6,Credit Card,2022,12,Dec,6,Tuesday
4120,Slippers,117,9/25/2023,4,Credit Card,2023,9,Sep,25,Monday
4073,Boots,198,12/21/2022,3.2,Cash,2022,12,Dec,21,Wednesday
4027,Onesie,164,6/11/2023,3.6,Cash,2023,6,Jun,11,Sunday
4066,Kimono,134,1/2/2023,3.8,Credit Card,2023,1,Jan,2,Monday
4039,Umbrella,121,7/5/2023,4.4,Cash,2023,7,Jul,5,Wednesday
4022,Tunic,109,11/15/2022,1.3,Credit Card,2022,11,Nov,15,Tuesday
3998,Skirt,183,12/22/2022,3.8,Credit Card,2022,12,Dec,22,Thursday
3975,T-shirt,195,7/22/2023,4,Cash,2023,7,Jul,22,Saturday
3972,Sneakers,42,4/18/2023,2.8,Credit Card,2023,4,Apr,18,Tuesday
4054,Tunic,146,1/23/2023,1.2,Credit Card,2023,1,Jan,23,Monday
4042,Wallet,154,8/31/2023,2.9,Credit Card,2023,8,Aug,31,Thursday
3972,Slippers,31,10/26/2022,3.2,Credit Card,2022,10,Oct,26,Wednesday
4023,Dress,44,3/3/2023,2.2,Cash,2023,3,Mar,3,Friday
4024,Skirt,56,7/17/2023,2.2,Credit Card,2023,7,Jul,17,Monday
4069,Flannel Shirt,64,11/1/2022,3.5,Cash,2022,11,Nov,1,Tuesday
3974,T-shirt,96,12/5/2022,3.6,Credit Card,2022,12,Dec,5,Monday
4082,Pajamas,107,5/10/2023,3.1,Cash,2023,5,May,10,Wednesday
4008,Loafers,117,5/4/2023,3.5,Credit Card,2023,5,May,4,Thursday
4113,Flannel Shirt,30,5/21/2023,3.1,Credit Card,2023,5,May,21,Sunday
4057,Tunic,148,4/22/2023,2.9,Cash,2023,4,Apr,22,Saturday
4122,Kimono,67,3/20/2023,4.4,Cash,2023,3,Mar,20,Monday
4082,Onesie,176,12/28/2022,3.1,Credit Card,2022,12,Dec,28,Wednesday
4067,Belt,71,8/27/2023,2.2,Credit Card,2023,8,Aug,27,Sunday
4114,Swimsuit,154,4/2/2023,2.3,Credit Card,2023,4,Apr,2,Sunday
3984,Trousers,104,7/30/2023,1.6,Cash,2023,7,Jul,30,Sunday
4023,Boots,193,2/14/2023,3.5,Credit Card,2023,2,Feb,14,Tuesday
3965,Wallet,89,8/18/2023,4.5,Cash,2023,8,Aug,18,Friday
4103,Flip-Flops,183,10/13/2022,3.2,Cash,2022,10,Oct,13,Thursday
4021,Sweater,106,5/21/2023,1.3,Cash,2023,5,May,21,Sunday
4071,Raincoat,193,10/2/2022,3.9,Credit Card,2022,10,Oct,2,Sunday
4084,Skirt,170,7/8/2023,4.2,Cash,2023,7,Jul,8,Saturday
3995,T-shirt,188,5/12/2023,4.1,Cash,2023,5,May,12,Friday
4120,Overalls,185,3/5/2023,4.1,Credit Card,2023,3,Mar,5,Sunday
3957,Tank Top,40,10/3/2022,2.1,Cash,2022,10,Oct,3,Monday
3966,Vest,154,5/4/2023,4.5,Cash,2023,5,May,4,Thursday
4056,Camisole,98,6/12/2023,2.9,Credit Card,2023,6,Jun,12,Monday
4025,Blouse,179,4/6/2023,4.1,Cash,2023,4,Apr,6,Thursday
3995,Jeans,139,5/1/2023,1.4,Cash,2023,5,May,1,Monday
4041,Loafers,13,10/13/2022,1.6,Cash,2022,10,Oct,13,Thursday
4057,Shorts,135,12/27/2022,4.5,Credit Card,2022,12,Dec,27,Tuesday
4088,Tank Top,127,10/7/2022,2.8,Credit Card,2022,10,Oct,7,Friday
4082,Tunic,121,9/7/2023,2.3,Cash,2023,9,Sep,7,Thursday
4068,Swimsuit,176,7/18/2023,2.5,Cash,2023,7,Jul,18,Tuesday
4060,Bowtie,147,12/28/2022,2.9,Credit Card,2022,12,Dec,28,Wednesday
3974,Flip-Flops,129,8/2/2023,3.1,Credit Card,2023,8,Aug,2,Wednesday
4095,Umbrella,197,10/25/2022,4.5,Credit Card,2022,10,Oct,25,Tuesday
4014,Wallet,92,12/25/2022,4.8,Credit Card,2022,12,Dec,25,Sunday
3957,Onesie,32,1/5/2023,4.3,Cash,2023,1,Jan,5,Thursday
4055,Trench Coat,125,11/10/2022,4.4,Cash,2022,11,Nov,10,Thursday
4080,Tie,128,4/10/2023,3,Credit Card,2023,4,Apr,10,Monday
3988,Wallet,181,3/4/2023,3.7,Credit Card,2023,3,Mar,4,Saturday
4102,Socks,17,1/31/2023,2.7,Cash,2023,1,Jan,31,Tuesday
4094,T-shirt,93,8/15/2023,1.1,Cash,2023,8,Aug,15,Tuesday
4042,Leggings,76,2/22/2023,3.9,Credit Card,2023,2,Feb,22,Wednesday
4034,Jeans,162,2/11/2023,3.2,Credit Card,2023,2,Feb,11,Saturday
4059,Handbag,80,7/6/2023,4.8,Cash,2023,7,Jul,6,Thursday
3971,Swimsuit,142,7/22/2023,1.7,Cash,2023,7,Jul,22,Saturday
4118,Dress,31,10/19/2022,1,Credit Card,2022,10,Oct,19,Wednesday
4122,Poncho,114,7/28/2023,3.1,Cash,2023,7,Jul,28,Friday
4050,Umbrella,175,12/29/2022,1.4,Cash,2022,12,Dec,29,Thursday
4093,Bowtie,124,12/21/2022,2,Credit Card,2022,12,Dec,21,Wednesday
4044,Gloves,33,3/29/2023,3.4,Cash,2023,3,Mar,29,Wednesday
4074,Kimono,88,2/5/2023,2.9,Cash,2023,2,Feb,5,Sunday
4122,Poncho,145,12/29/2022,2,Cash,2022,12,Dec,29,Thursday
4008,Flip-Flops,200,10/5/2022,4.9,Cash,2022,10,Oct,5,Wednesday
4002,Hoodie,100,12/26/2022,4.5,Cash,2022,12,Dec,26,Monday
4098,Raincoat,79,2/4/2023,5,Credit Card,2023,2,Feb,4,Saturday
3967,Belt,69,4/3/2023,3,Cash,2023,4,Apr,3,Monday
4118,Pajamas,133,3/20/2023,4.5,Credit Card,2023,3,Mar,20,Monday
4048,Cardigan,160,3/27/2023,2.7,Cash,2023,3,Mar,27,Monday
4081,Loafers,144,11/1/2022,1.2,Credit Card,2022,11,Nov,1,Tuesday
3978,Socks,35,11/29/2022,1.2,Cash,2022,11,Nov,29,Tuesday
4069,Pants,55,1/25/2023,4.9,Cash,2023,1,Jan,25,Wednesday
